file,mu0,gamma0,beta0,eta0,kappa0,lambda0,scale0
PG5PC2a-20171226210304.pkl,0.286139790979,18.2599042523,22.2712023492,14.1573334603,59.8507114686,20.5387444826,0.628164462084
PG5PC2a-20171226211531.pkl,0.611040341765,5.41571620473,18.3314993215,17.7784220852,80.5908793679,11.0880585705,0.915995892555
PG5PC2a-20171226212205.pkl,2.37753572757,21.5345066296,93.0273005628,37.5856800707,45.9159189395,36.5366448431,0.0645185927828
PG5PC2a-20171226214858.pkl,0.795164446458,2.04018340467,59.7545051093,71.8506608115,41.2216642303,38.7690190301,0.679831505978
PG5PC2a-20171226215544.pkl,0.542732850736,24.6080836135,92.59467669,8.87176470791,45.4830841343,13.1908725895,0.411480161917
PG5PC2a-20171226233901.pkl,2.0666349081,0.291043780901,66.9677166636,7.50688073563,94.6194334455,37.0102940398,0.574220609647
PG5PC2a-20171226235328.pkl,1.54192870361,11.1605116361,31.9449588012,82.0368260589,54.5624442362,69.2404169069,0.411698710681
PG5PC2a-20171227004602.pkl,2.89228631823,2.22666749976,88.5112862226,88.6326997269,36.7766686664,13.4833019905,0.230849379511
PG5PC2a-20171227005310.pkl,1.51878986375,12.6396928187,12.7536746013,50.0036386233,16.4878785546,52.4185049344,0.287373801123
PG5PC2a-20171227005644.pkl,1.61075432075,19.4981210734,28.8872381395,29.840042478,21.4392772937,20.0981921954,0.230584942826
PG5PC2a-20171227010919.pkl,0.939732847441,16.2852020764,94.2282302583,30.8756517721,59.6610314078,19.9968619021,0.753386459285
PG5PC2a-20171227011616.pkl,2.49375463851,4.61035756287,31.6417200963,76.3214689194,26.6000241472,60.13996828,0.907341093653
PG5PC2a-20171227011940.pkl,1.80819765449,23.3689211365,26.2102815589,84.7086621608,93.1108544962,57.8954519765,0.878816307382
PG5PC2a-20171227012133.pkl,2.62137747197,16.5784078421,12.4145965329,90.3082119237,31.4583337586,64.1395125883,0.419687452933
PG5PC2a-20171227014750.pkl,2.74936738537,4.08445761993,66.8661376364,55.8312240576,87.8698739582,44.6390815405,0.339598976729
PG5PC2a-20171227020025.pkl,0.555350415159,14.7578405861,86.8377571329,39.5458713625,66.5196627855,47.7435379067,0.461853301971
PG5PC2a-20171227020243.pkl,1.36059245665,29.7853216611,5.68957445458,90.8576501449,7.32087689505,88.7125339484,0.446171505644
PG5PC2a-20171227021614.pkl,3.76491614957,5.29425036415,45.3967800416,28.9000599151,25.1699731112,45.4630530189,0.224171667132
PG5PC2a-20171227022259.pkl,1.95859829526,16.4956435789,80.6272977686,61.3371743834,53.2475781258,87.4964126252,0.425313474782
PG5PC2a-20171227022951.pkl,2.70665870564,10.6516536277,52.5566778522,29.034874315,52.2460243422,78.5323000439,0.341099116129
PG5PC2a-20171227023714.pkl,1.03064748503,16.7178421121,66.6136896104,1.46172537877,65.0385737233,10.5387158948,0.56506757791
PG5PC2a-20171227025007.pkl,1.74880097884,5.99887039688,38.7583103125,68.0252564383,63.6987497841,43.0032553932,0.137129801923
PG5PC2a-20171227025607.pkl,3.17308326019,29.5939629878,65.0809980394,21.8770416611,88.5588145404,19.0041078899,0.746531837355
PG5PC2a-20171227025801.pkl,2.26436452427,27.5522844578,17.1406441113,77.2042128449,51.8794640532,33.4150676097,0.244535551567
PG5PC2a-20171227031123.pkl,0.673453495488,11.2125184889,99.2438906569,4.77858894451,94.0206168871,11.1986785271,0.82386186739
PG5PC2a-20171227032443.pkl,3.7477536653,6.53113087541,58.7370757128,55.9585385518,54.8787399978,27.8510666908,0.692316534499
PG5PC2a-20171227033821.pkl,3.85023955093,7.93504438649,76.7828509437,15.3151520019,49.6710401321,38.922915907,0.425587000308
PG5PC2a-20171227040345.pkl,2.15046524796,1.87283659039,40.7916450359,64.3607694108,90.2092682265,85.6905443874,0.830131443578
PG5PC2a-20171227042954.pkl,0.0162654554915,5.94905840398,99.7809772708,75.2348095308,79.1018866702,39.4434317607,0.0678565916369
PG5PC2a-20171227043644.pkl,3.11681470309,18.5845765351,73.8633768172,39.8738245409,42.0361192856,25.3404146523,0.82694879777
PG5PC2a-20171227044323.pkl,0.583038332213,21.308805712,80.5568043779,99.1377430356,64.8951657207,47.9433670124,0.816769179596
PG5PC2a-20171227045718.pkl,1.75624346451,7.871395889,88.4225641088,36.7016070224,23.9070529535,79.609444742,0.844442781553
PG5PC2a-20171227051300.pkl,2.94541631465,17.3356895786,51.9557263965,63.4633427489,98.9982874584,49.1403685839,0.135797539346
PG5PC2a-20171227052637.pkl,1.94218216072,1.50957263905,15.762257692,8.72597368496,38.7978882195,17.4937663647,0.348712324699
PG5PC2a-20171227053138.pkl,3.66372677835,15.0923417465,15.5499053561,81.8928271144,39.8565539922,35.4136504226,0.828595481591
PG5PC2a-20171227053500.pkl,3.28517765215,27.5947742013,10.0574136072,31.587821396,89.5194722075,20.1133236493,0.959839024091
PG5PC2a-20171227054218.pkl,3.52282406815,18.2556256225,51.2595529301,33.5777455151,56.2170589329,75.2744776287,0.198821031617
PG5PC2a-20171227054906.pkl,3.43804485342,6.98373855242,35.3383171504,44.4396816637,10.3783180594,63.7530621902,0.711018848495
