sender_id,receiver_id,corrected,value
57,34,0,4.0
134,130,1,2.0
57,178,1,3.0
109,0,1,3.0
60,427,0,4.0
101,44,1,3.0
123,3,0,4.0
39,426,1,1.0
45,165,0,3.0
50,53,0,4.0
165,30,0,0.0
267,355,1,1.0
132,326,1,3.0
140,266,1,1.0
165,43,1,1.0
30,175,1,3.0
62,34,1,2.0
107,165,1,3.0
247,58,0,3.0
226,58,1,3.0
30,58,1,2.0
132,392,0,3.0
14,53,1,2.0
247,296,0,3.0
294,165,1,3.0
39,23,0,4.0
101,133,1,3.0
185,166,0,4.0
5,157,0,4.0
57,342,1,2.0
0,267,0,4.0
132,308,1,4.0
57,427,1,3.0
57,31,1,3.0
134,133,1,1.0
165,30,0,1.0
165,58,1,2.0
247,58,1,3.0
53,74,0,4.0
107,19,1,3.0
170,165,0,4.0
165,171,0,3.0
96,346,1,2.0
247,342,1,3.0
113,34,0,4.0
114,109,0,4.0
247,58,1,3.0
247,207,0,2.0
57,31,1,3.0
60,37,0,4.0
62,70,1,3.0
191,144,1,1.0
214,269,1,2.0
159,8,0,4.0
165,44,1,2.0
175,266,1,2.0
140,267,1,2.0
19,134,0,4.0
52,165,1,4.0
34,205,0,0.0
3,426,1,3.0
247,287,0,3.0
101,51,1,2.0
30,129,1,3.0
34,269,1,1.0
132,12,1,2.0
247,291,1,3.0
247,351,1,2.0
101,236,1,2.0
34,139,1,2.0
247,58,1,3.0
123,247,0,4.0
60,55,0,4.0
267,16,1,3.0
57,51,1,2.0
155,25,0,4.0
237,170,0,4.0
57,376,1,2.0
247,58,0,3.0
97,140,1,4.0
101,30,1,3.0
101,8,0,4.0
123,3,1,4.0
165,170,0,4.0
247,16,1,2.0
185,207,0,4.0
247,360,1,4.0
123,165,0,4.0
132,165,0,3.0
174,313,1,2.0
14,60,1,3.0
165,58,1,3.0
140,31,1,3.0
108,58,1,3.0
247,178,0,3.0
99,33,1,4.0
154,180,1,2.0
34,120,1,3.0
247,3,1,2.0
57,31,1,3.0
55,60,0,3.0
34,296,1,1.0
247,351,1,3.0
420,432,1,3.0
47,46,1,3.0
34,19,1,3.0
101,206,1,1.0
97,121,1,3.0
51,74,1,2.0
45,296,0,3.0
34,165,1,3.0
132,359,0,3.0
123,207,1,3.0
165,30,1,3.0
132,351,1,2.0
101,44,1,2.0
111,67,1,3.0
247,289,1,3.0
34,313,1,2.0
121,165,0,4.0
192,165,0,3.0
247,3,1,2.0
247,360,1,3.0
34,122,1,3.0
62,51,1,3.0
34,266,1,1.0
132,58,0,3.0
154,159,1,1.0
145,165,0,4.0
101,117,1,3.0
165,195,1,2.0
57,165,1,3.0
132,165,0,3.0
34,188,1,1.0
192,268,1,3.0
247,376,1,3.0
165,180,0,3.0
247,31,1,2.0
140,165,0,4.0
247,58,0,3.0
111,125,1,3.0
132,165,0,3.0
60,145,0,4.0
63,165,1,3.0
132,12,1,3.0
165,134,1,2.0
134,165,1,2.0
83,70,0,4.0
34,58,1,2.0
132,213,1,2.0
247,166,1,3.0
140,30,1,2.0
247,246,1,3.0
247,58,1,3.0
101,25,1,3.0
97,269,1,2.0
247,355,1,2.0
165,269,1,2.0
170,58,1,2.0
174,96,1,2.0
34,25,0,3.0
19,8,0,4.0
176,165,0,4.0
172,184,0,4.0
52,30,1,2.0
226,51,0,4.0
247,325,1,3.0
60,96,0,4.0
5,360,1,3.0
61,166,1,4.0
165,210,1,2.0
123,58,1,3.0
132,296,0,2.0
132,291,0,3.0
170,223,1,1.0
132,313,0,3.0
247,351,1,3.0
237,30,0,4.0
123,31,1,3.0
34,312,1,2.0
92,118,1,3.0
132,58,1,2.0
132,351,0,4.0
30,58,0,2.0
34,180,1,3.0
101,98,1,1.0
34,260,1,1.0
47,223,1,3.0
247,166,1,3.0
99,153,1,3.0
60,107,0,4.0
57,58,1,3.0
132,165,0,4.0
57,395,1,3.0
34,260,0,0.0
267,333,1,2.0
132,317,0,3.0
247,362,1,3.0
132,303,0,3.0
247,351,1,3.0
44,128,0,4.0
14,127,1,3.0
101,206,1,2.0
247,342,1,2.0
63,61,1,3.0
34,364,0,0.0
97,58,1,4.0
165,34,1,2.0
132,268,1,2.0
107,378,1,3.0
10,55,1,3.0
123,34,0,4.0
247,16,1,2.0
132,58,1,3.0
113,34,0,4.0
101,30,1,2.0
247,344,0,3.0
3,204,1,3.0
101,70,1,3.0
34,266,1,1.0
101,185,1,3.0
5,44,1,4.0
132,58,0,4.0
247,292,1,2.0
5,19,1,4.0
170,165,0,4.0
132,175,0,3.0
57,58,1,2.0
97,144,0,4.0
159,58,0,4.0
306,300,1,3.0
60,61,0,4.0
192,165,1,3.0
34,19,1,1.0
247,326,0,3.0
125,98,1,3.0
133,134,1,2.0
158,153,0,3.0
34,44,1,2.0
34,238,1,2.0
165,207,1,2.0
247,360,1,3.0
165,216,0,3.0
247,287,0,3.0
14,60,0,4.0
128,134,1,3.0
113,34,1,4.0
154,185,0,3.0
267,58,1,2.0
113,34,0,4.0
57,31,1,3.0
14,299,1,2.0
132,165,0,3.0
132,58,0,3.0
166,244,1,4.0
101,58,1,3.0
