sender_id,receiver_id,value,corrected
154,25,1.0,0
172,25,1.0,1
60,25,2.0,0
60,25,2.0,0
154,25,0.0,1
60,25,2.0,0
60,25,2.0,0
165,25,1.0,1
133,25,0.0,1
165,25,0.0,0
182,25,2.0,0
123,25,2.0,0
172,25,2.0,0
154,25,1.0,0
138,25,1.0,1
34,25,1.0,1
154,25,1.0,0
101,25,1.0,0
172,25,2.0,0
52,25,1.0,1
185,25,1.0,1
144,25,1.0,1
185,25,1.0,1
92,27,0.0,1
92,27,0.0,1
34,27,-1.0,1
155,27,1.0,1
34,27,-1.0,1
57,28,1.0,1
109,30,-1.0,1
34,30,-1.0,1
120,30,0.0,1
57,30,0.0,1
101,30,1.0,1
101,30,1.0,1
101,30,-1.0,1
5,30,2.0,0
120,30,-1.0,1
3,30,1.0,1
101,30,0.0,1
34,30,0.0,1
34,30,0.0,1
34,30,0.0,1
114,30,-1.0,1
128,30,1.0,1
128,30,1.0,1
34,30,1.0,1
14,30,0.0,1
14,30,0.0,1
134,30,0.0,1
134,30,2.0,0
134,30,-1.0,1
101,30,1.0,1
14,30,0.0,1
101,30,0.0,1
101,30,0.0,1
101,30,1.0,1
159,30,1.0,1
101,30,0.0,1
101,30,0.0,1
165,30,0.0,1
165,30,-1.0,0
101,30,-1.0,1
165,30,1.0,1
101,30,1.0,1
101,30,0.0,1
101,30,0.0,1
159,30,2.0,0
101,30,1.0,1
165,30,0.0,1
52,30,0.0,1
165,30,2.0,1
165,30,-1.0,1
140,30,0.0,1
172,30,2.0,0
187,30,0.0,1
154,30,1.0,0
154,30,1.0,0
185,30,0.0,1
3,30,1.0,1
158,30,2.0,0
154,30,0.0,1
101,30,1.0,1
101,30,0.0,1
187,30,1.0,1
185,30,1.0,1
154,30,0.0,1
101,30,0.0,1
101,30,1.0,1
101,30,2.0,1
192,30,2.0,0
201,30,2.0,0
195,30,0.0,1
101,30,0.0,1
52,30,0.0,0
101,30,1.0,1
159,30,2.0,0
101,30,1.0,1
154,30,1.0,0
154,30,0.0,1
52,30,0.0,0
165,30,2.0,1
73,30,0.0,1
101,30,0.0,0
154,30,-1.0,1
101,30,0.0,1
101,30,1.0,0
165,30,1.0,1
165,30,0.0,1
101,30,1.0,1
165,30,-1.0,0
101,30,1.0,1
158,30,-1.0,1
101,30,1.0,1
165,30,-1.0,1
101,30,0.0,1
52,30,1.0,1
101,30,0.0,1
34,30,0.0,1
192,30,2.0,0
144,30,1.0,1
34,30,-1.0,1
165,30,1.0,0
101,30,0.0,1
154,30,1.0,0
52,30,0.0,1
158,30,1.0,1
97,30,2.0,0
134,30,2.0,0
166,30,2.0,1
224,30,1.0,1
185,30,1.0,1
165,30,0.0,1
165,30,0.0,1
165,30,0.0,1
192,30,1.0,1
52,30,1.0,1
165,30,-1.0,1
140,30,0.0,1
192,30,2.0,0
165,30,-1.0,1
140,30,0.0,1
165,30,-1.0,1
165,30,-1.0,1
165,30,-1.0,0
123,30,1.0,1
123,30,1.0,0
140,30,0.0,1
123,30,1.0,1
123,30,2.0,0
165,30,-2.0,0
140,30,1.0,0
247,30,0.0,1
165,30,-1.0,1
170,30,1.0,0
140,30,1.0,1
165,30,0.0,1
97,30,2.0,0
97,30,2.0,1
247,30,1.0,0
165,30,-1.0,1
165,30,-2.0,1
14,30,1.0,1
165,30,-2.0,1
123,30,2.0,1
192,30,1.0,0
165,30,-2.0,1
123,30,-1.0,1
192,30,2.0,0
237,30,2.0,0
237,30,2.0,0
34,30,2.0,0
19,31,1.0,0
19,31,1.0,0
34,31,0.0,1
34,31,0.0,1
55,31,1.0,0
62,31,1.0,1
34,31,0.0,1
34,31,0.0,1
62,31,0.0,1
57,31,2.0,1
57,31,2.0,0
62,31,0.0,1
34,31,1.0,1
62,31,1.0,1
34,31,0.0,1
62,31,1.0,1
85,31,2.0,1
62,31,0.0,1
34,31,0.0,1
34,31,0.0,1
